Time: 4.703337900 seconds | CompleteTranslationUnit;
Time: 0.040174000 seconds | std::__1::map<signed char, std::__1::basic_string<char>, std::__1::less<signed char>, std::__1::allocator<std::__1::pair<const signed char, std::__1::basic_string<char> > > >::map;
Time: 0.036747000 seconds | apache::thrift::deserialize_known_length_map<short, short, (lambda at /Users/eelizondo/Documents/cppcon2017/examples/example2/normal/gen-cpp2/file1_types.tcc:617:41), (lambda at /Users/eelizondo/Documents/cppcon2017/examples/example2/normal/gen-cpp2/file1_types.tcc:621:41)>;
Time: 0.034900999 seconds | apache::thrift::deserialize_known_length_map<bool, double, (lambda at /Users/eelizondo/Documents/cppcon2017/examples/example2/normal/gen-cpp2/file1_types.tcc:263:41), (lambda at /Users/eelizondo/Documents/cppcon2017/examples/example2/normal/gen-cpp2/file1_types.tcc:267:41)>;
Time: 0.028774999 seconds | std::__1::map<std::__1::set<example::thrift32::Struct0, std::__1::less<example::thrift32::Struct0>, std::__1::allocator<example::thrift32::Struct0> >, short, std::__1::less<std::__1::set<example::thrift32::Struct0, std::__1::less<example::thrift32::Struct0>, std::__1::allocator<example::thrift32::Struct0> > >, std::__1::allocator<std::__1::pair<const std::__1::set<example::thrift32::Struct0, std::__1::less<example::thrift32::Struct0>, std::__1::allocator<example::thrift32::Struct0> >, short> > >;
Time: 0.023902000 seconds | std::__1::map<std::__1::set<int, std::__1::less<int>, std::__1::allocator<int> >, float, std::__1::less<std::__1::set<int, std::__1::less<int>, std::__1::allocator<int> > >, std::__1::allocator<std::__1::pair<const std::__1::set<int, std::__1::less<int>, std::__1::allocator<int> >, float> > >;
Time: 0.023474000 seconds | std::__1::operator==<std::__1::basic_string<char>, float, std::__1::less<std::__1::basic_string<char> >, std::__1::allocator<std::__1::pair<const std::__1::basic_string<char>, float> > >;
Time: 0.023255999 seconds | std::__1::map<example::thrift12::Struct0, std::__1::basic_string<char>, std::__1::less<example::thrift12::Struct0>, std::__1::allocator<std::__1::pair<const example::thrift12::Struct0, std::__1::basic_string<char> > > >::map;
Time: 0.022469999 seconds | std::__1::map<short, short, std::__1::less<short>, std::__1::allocator<std::__1::pair<const short, short> > >::operator[];
Time: 0.020308999 seconds | std::__1::map<bool, double, std::__1::less<bool>, std::__1::allocator<std::__1::pair<const bool, double> > >::operator[];
Time: 0.018875999 seconds | std::__1::pair<const long long, example::thrift12::Struct1>;
Time: 0.018556999 seconds | std::__1::pair<const std::__1::map<double, std::__1::basic_string<char>, std::__1::less<double>, std::__1::allocator<std::__1::pair<const double, std::__1::basic_string<char> > > >, example::thrift32::Struct13>;
Time: 0.018452000 seconds | std::__1::map<std::__1::vector<std::__1::basic_string<char>, std::__1::allocator<std::__1::basic_string<char> > >, short, std::__1::less<std::__1::vector<std::__1::basic_string<char>, std::__1::allocator<std::__1::basic_string<char> > > >, std::__1::allocator<std::__1::pair<const std::__1::vector<std::__1::basic_string<char>, std::__1::allocator<std::__1::basic_string<char> > >, short> > >;
Time: 0.018108999 seconds | std::__1::pair<const short, example::thrift29::Struct7>;
Time: 0.016695000 seconds | std::__1::set<std::__1::basic_string<char>, std::__1::less<std::__1::basic_string<char> >, std::__1::allocator<std::__1::basic_string<char> > >::insert;
Time: 0.016017999 seconds | std::__1::map<double, example::thrift32::Struct9, std::__1::less<double>, std::__1::allocator<std::__1::pair<const double, example::thrift32::Struct9> > >;
Time: 0.014396000 seconds | std::__1::pair<const std::__1::map<bool, std::__1::basic_string<char>, std::__1::less<bool>, std::__1::allocator<std::__1::pair<const bool, std::__1::basic_string<char> > > >, example::thrift32::Struct7>;
Time: 0.014392000 seconds | std::__1::set<double, std::__1::less<double>, std::__1::allocator<double> >::insert;
Time: 0.012906999 seconds | std::__1::swap;
Time: 0.012024000 seconds | std::__1::set<std::__1::vector<int, std::__1::allocator<int> >, std::__1::less<std::__1::vector<int, std::__1::allocator<int> > >, std::__1::allocator<std::__1::vector<int, std::__1::allocator<int> > > >;
Time: 0.011578000 seconds | std::__1::operator==<bool, std::__1::map<float, signed char, std::__1::less<float>, std::__1::allocator<std::__1::pair<const float, signed char> > >, std::__1::less<bool>, std::__1::allocator<std::__1::pair<const bool, std::__1::map<float, signed char, std::__1::less<float>, std::__1::allocator<std::__1::pair<const float, signed char> > > > > >;
Time: 0.011492000 seconds | std::__1::pair<const example::thrift19::Struct2, example::thrift19::Struct0>;
Time: 0.011378999 seconds | example::thrift1::Struct0::read<apache::thrift::BinaryProtocolReader>;
Time: 0.011231000 seconds | std::__1::operator==<std::__1::map<int, int, std::__1::less<int>, std::__1::allocator<std::__1::pair<const int, int> > >, long long, std::__1::less<std::__1::map<int, int, std::__1::less<int>, std::__1::allocator<std::__1::pair<const int, int> > > >, std::__1::allocator<std::__1::pair<const std::__1::map<int, int, std::__1::less<int>, std::__1::allocator<std::__1::pair<const int, int> > >, long long> > >;
Time: 0.011062000 seconds | std::__1::map<double, example::thrift12::Struct15, std::__1::less<double>, std::__1::allocator<std::__1::pair<const double, example::thrift12::Struct15> > >;
Time: 0.010988999 seconds | std::__1::pair<const long long, std::__1::vector<std::__1::set<bool, std::__1::less<bool>, std::__1::allocator<bool> >, std::__1::allocator<std::__1::set<bool, std::__1::less<bool>, std::__1::allocator<bool> > > > >;
Time: 0.010984999 seconds | std::__1::operator<<std::__1::basic_string<char>, std::__1::basic_string<char>, std::__1::less<std::__1::basic_string<char> >, std::__1::allocator<std::__1::pair<const std::__1::basic_string<char>, std::__1::basic_string<char> > > >;
Time: 0.010941000 seconds | std::__1::operator==<std::__1::map<std::__1::basic_string<char>, short, std::__1::less<std::__1::basic_string<char> >, std::__1::allocator<std::__1::pair<const std::__1::basic_string<char>, short> > >, std::__1::map<std::__1::vector<double, std::__1::allocator<double> >, bool, std::__1::less<std::__1::vector<double, std::__1::allocator<double> > >, std::__1::allocator<std::__1::pair<const std::__1::vector<double, std::__1::allocator<double> >, bool> > >, std::__1::less<std::__1::map<std::__1::basic_string<char>, short, std::__1::less<std::__1::basic_string<char> >, std::__1::allocator<std::__1::pair<const std::__1::basic_string<char>, short> > > >, std::__1::allocator<std::__1::pair<const std::__1::map<std::__1::basic_string<char>, short, std::__1::less<std::__1::basic_string<char> >, std::__1::allocator<std::__1::pair<const std::__1::basic_string<char>, short> > >, std::__1::map<std::__1::vector<double, std::__1::allocator<double> >, bool, std::__1::less<std::__1::vector<double, std::__1::allocator<double> > >, std::__1::allocator<std::__1::pair<const std::__1::vector<double, std::__1::allocator<double> >, bool> > > > > >;
Time: 0.010740000 seconds | std::__1::operator==<float, std::__1::map<std::__1::set<int, std::__1::less<int>, std::__1::allocator<int> >, float, std::__1::less<std::__1::set<int, std::__1::less<int>, std::__1::allocator<int> > >, std::__1::allocator<std::__1::pair<const std::__1::set<int, std::__1::less<int>, std::__1::allocator<int> >, float> > >, std::__1::less<float>, std::__1::allocator<std::__1::pair<const float, std::__1::map<std::__1::set<int, std::__1::less<int>, std::__1::allocator<int> >, float, std::__1::less<std::__1::set<int, std::__1::less<int>, std::__1::allocator<int> > >, std::__1::allocator<std::__1::pair<const std::__1::set<int, std::__1::less<int>, std::__1::allocator<int> >, float> > > > > >;
Time: 0.010590999 seconds | std::__1::operator==<std::__1::basic_string<char>, std::__1::map<int, std::__1::basic_string<char>, std::__1::less<int>, std::__1::allocator<std::__1::pair<const int, std::__1::basic_string<char> > > >, std::__1::less<std::__1::basic_string<char> >, std::__1::allocator<std::__1::pair<const std::__1::basic_string<char>, std::__1::map<int, std::__1::basic_string<char>, std::__1::less<int>, std::__1::allocator<std::__1::pair<const int, std::__1::basic_string<char> > > > > > >;
Time: 0.010482000 seconds | std::__1::set<example::thrift29::Struct7, std::__1::less<example::thrift29::Struct7>, std::__1::allocator<example::thrift29::Struct7> >;
Time: 0.010399000 seconds | std::__1::set<double, std::__1::less<double>, std::__1::allocator<double> >;
