Time: 160.689844069 seconds | CompleteTranslationUnit;
Time: 73.665898000 seconds | cpp2::Struct28::read<apache::thrift::CompactProtocolReader>;
Time: 72.905138002 seconds | cpp2::Struct28::read<apache::thrift::BinaryProtocolReader>;
Time: 3.240544000 seconds | std::__1::map<std::__1::set<cpp2::Struct14, std::__1::less<cpp2::Struct14>, std::__1::allocator<cpp2::Struct14> >, short, std::__1::less<std::__1::set<cpp2::Struct14, std::__1::less<cpp2::Struct14>, std::__1::allocator<cpp2::Struct14> > >, std::__1::allocator<std::__1::pair<const std::__1::set<cpp2::Struct14, std::__1::less<cpp2::Struct14>, std::__1::allocator<cpp2::Struct14> >, short> > >::operator[];
Time: 0.821091999 seconds | std::__1::map<cpp2::Struct13, bool, std::__1::less<cpp2::Struct13>, std::__1::allocator<std::__1::pair<const cpp2::Struct13, bool> > >::operator[];
Time: 0.416430000 seconds | std::__1::map<cpp2::Struct20, int, std::__1::less<cpp2::Struct20>, std::__1::allocator<std::__1::pair<const cpp2::Struct20, int> > >::operator[];
Time: 0.106755999 seconds | std::__1::pair<const std::__1::basic_string<char>, cpp2::Struct20>;
Time: 0.056760019 seconds | cpp2::Struct28::write<apache::thrift::BinaryProtocolWriter>;
Time: 0.047415012 seconds | cpp2::Struct28::serializedSizeZC<apache::thrift::CompactProtocolWriter>;
Time: 0.044898006 seconds | cpp2::Struct28::write<apache::thrift::CompactProtocolWriter>;
Time: 0.044630000 seconds | apache::thrift::deserialize_known_length_map<cpp2::Struct20, int, (lambda at /Users/eelizondo/Documents/cppcon2017/examples/example4/normal/gen-cpp2/struct28_types.tcc:2104:41), (lambda at /Users/eelizondo/Documents/cppcon2017/examples/example4/normal/gen-cpp2/struct28_types.tcc:2108:41)>;
Time: 0.044114007 seconds | cpp2::Struct28::serializedSizeZC<apache::thrift::BinaryProtocolWriter>;
Time: 0.044086008 seconds | cpp2::Struct28::serializedSize<apache::thrift::BinaryProtocolWriter>;
Time: 0.043647004 seconds | cpp2::Struct28::serializedSize<apache::thrift::CompactProtocolWriter>;
Time: 0.042268000 seconds | apache::thrift::deserialize_known_length_map<std::__1::set<std::__1::set<std::__1::basic_string<char>, std::__1::less<std::__1::basic_string<char> >, std::__1::allocator<std::__1::basic_string<char> > >, std::__1::less<std::__1::set<std::__1::basic_string<char>, std::__1::less<std::__1::basic_string<char> >, std::__1::allocator<std::__1::basic_string<char> > > >, std::__1::allocator<std::__1::set<std::__1::basic_string<char>, std::__1::less<std::__1::basic_string<char> >, std::__1::allocator<std::__1::basic_string<char> > > > >, float, (lambda at /Users/eelizondo/Documents/cppcon2017/examples/example4/normal/gen-cpp2/struct28_types.tcc:2279:45), (lambda at /Users/eelizondo/Documents/cppcon2017/examples/example4/normal/gen-cpp2/struct28_types.tcc:2340:45)>;
Time: 0.042013999 seconds | apache::thrift::deserialize_known_length_map<std::__1::vector<long long, std::__1::allocator<long long> >, bool, (lambda at /Users/eelizondo/Documents/cppcon2017/examples/example4/normal/gen-cpp2/struct28_types.tcc:2834:43), (lambda at /Users/eelizondo/Documents/cppcon2017/examples/example4/normal/gen-cpp2/struct28_types.tcc:2855:43)>;
Time: 0.041409000 seconds | std::__1::pair<const signed char, cpp2::Struct0>;
Time: 0.041315999 seconds | apache::thrift::deserialize_known_length_map<std::__1::set<cpp2::Struct14, std::__1::less<cpp2::Struct14>, std::__1::allocator<cpp2::Struct14> >, short, (lambda at /Users/eelizondo/Documents/cppcon2017/examples/example4/normal/gen-cpp2/struct28_types.tcc:294:43), (lambda at /Users/eelizondo/Documents/cppcon2017/examples/example4/normal/gen-cpp2/struct28_types.tcc:317:43)>;
Time: 0.041057999 seconds | apache::thrift::deserialize_known_length_map<std::__1::vector<float, std::__1::allocator<float> >, int, (lambda at /Users/eelizondo/Documents/cppcon2017/examples/example4/normal/gen-cpp2/struct28_types.tcc:1063:43), (lambda at /Users/eelizondo/Documents/cppcon2017/examples/example4/normal/gen-cpp2/struct28_types.tcc:1084:43)>;
Time: 0.040806000 seconds | apache::thrift::deserialize_known_length_map<std::__1::vector<double, std::__1::allocator<double> >, short, (lambda at /Users/eelizondo/Documents/cppcon2017/examples/example4/normal/gen-cpp2/struct28_types.tcc:1365:47), (lambda at /Users/eelizondo/Documents/cppcon2017/examples/example4/normal/gen-cpp2/struct28_types.tcc:1386:47)>;
Time: 0.040251999 seconds | std::__1::pair<const signed char, cpp2::Struct2>;
Time: 0.038737999 seconds | apache::thrift::deserialize_known_length_map<long long, int, (lambda at /Users/eelizondo/Documents/cppcon2017/examples/example4/normal/gen-cpp2/struct28_types.tcc:881:41), (lambda at /Users/eelizondo/Documents/cppcon2017/examples/example4/normal/gen-cpp2/struct28_types.tcc:885:41)>;
