Time: 0.002951999 seconds | CompleteTranslationUnit;
Time: 0.000080999 seconds | fib<80>;
Time: 0.000059000 seconds | fib<2>;
Time: 0.000054001 seconds | fib<20>;
Time: 0.000049000 seconds | fib<17>;
Time: 0.000046000 seconds | fib<12>;
Time: 0.000044999 seconds | fib<58>;
Time: 0.000044000 seconds | fib<6>;
Time: 0.000043999 seconds | fib<3>;
Time: 0.000043000 seconds | fib<79>;
Time: 0.000043000 seconds | fib<57>;
Time: 0.000043000 seconds | fib<48>;
Time: 0.000039999 seconds | fib<49>;
Time: 0.000039999 seconds | fib<21>;
Time: 0.000039000 seconds | fib<65>;
Time: 0.000038000 seconds | fib<73>;
Time: 0.000038000 seconds | fib<72>;
Time: 0.000038000 seconds | fib<70>;
Time: 0.000038000 seconds | fib<4>;
Time: 0.000037999 seconds | fib<76>;
Time: 0.000037001 seconds | fib<50>;
Time: 0.000037000 seconds | fib<78>;
Time: 0.000037000 seconds | fib<52>;
Time: 0.000037000 seconds | fib<38>;
Time: 0.000037000 seconds | fib<34>;
Time: 0.000037000 seconds | fib<33>;
Time: 0.000037000 seconds | fib<13>;
Time: 0.000037000 seconds | fib<11>;
Time: 0.000036999 seconds | fib<14>;
Time: 0.000036001 seconds | fib<8>;
Time: 0.000036001 seconds | fib<77>;
Time: 0.000036001 seconds | fib<75>;
Time: 0.000036001 seconds | fib<25>;
Time: 0.000036000 seconds | fib<7>;
Time: 0.000036000 seconds | fib<32>;
Time: 0.000036000 seconds | fib<15>;
Time: 0.000035999 seconds | fib<74>;
Time: 0.000035001 seconds | fib<59>;
Time: 0.000035001 seconds | fib<41>;
Time: 0.000035001 seconds | fib<37>;
Time: 0.000035001 seconds | fib<16>;
Time: 0.000035001 seconds | fib<10>;
Time: 0.000035000 seconds | fib<71>;
Time: 0.000035000 seconds | fib<5>;
Time: 0.000035000 seconds | fib<47>;
Time: 0.000035000 seconds | fib<39>;
Time: 0.000035000 seconds | fib<36>;
Time: 0.000035000 seconds | fib<35>;
Time: 0.000035000 seconds | fib<29>;
Time: 0.000035000 seconds | fib<28>;
Time: 0.000035000 seconds | fib<24>;
Time: 0.000035000 seconds | fib<18>;
Time: 0.000034999 seconds | fib<9>;
Time: 0.000034999 seconds | fib<64>;
Time: 0.000034999 seconds | fib<19>;
Time: 0.000034001 seconds | fib<68>;
Time: 0.000034001 seconds | fib<56>;
Time: 0.000034001 seconds | fib<22>;
Time: 0.000034000 seconds | fib<69>;
Time: 0.000034000 seconds | fib<67>;
Time: 0.000034000 seconds | fib<66>;
Time: 0.000034000 seconds | fib<55>;
Time: 0.000034000 seconds | fib<45>;
Time: 0.000034000 seconds | fib<43>;
Time: 0.000034000 seconds | fib<31>;
Time: 0.000034000 seconds | fib<30>;
Time: 0.000034000 seconds | fib<27>;
Time: 0.000033999 seconds | fib<62>;
Time: 0.000033999 seconds | fib<51>;
Time: 0.000033999 seconds | fib<44>;
Time: 0.000033999 seconds | fib<26>;
Time: 0.000033999 seconds | fib<23>;
Time: 0.000033001 seconds | fib<63>;
Time: 0.000033001 seconds | fib<61>;
Time: 0.000033001 seconds | fib<46>;
Time: 0.000033000 seconds | fib<53>;
Time: 0.000033000 seconds | fib<42>;
Time: 0.000032999 seconds | fib<60>;
Time: 0.000032999 seconds | fib<40>;
Time: 0.000032000 seconds | fib<54>;
