.699635339 seconds | CompleteTranslationUnit;
.000079999 seconds | folly::to;
.000812000 seconds | folly::to;
.000519999 seconds | std::__1::shared_ptr<apache::thrift::transport::TTransport>;
.000072999 seconds | std::__1::shared_ptr<apache::thrift::transport::TTransport>::shared_ptr;
.003137000 seconds | std::__1::pair<std::__1::shared_ptr<apache::thrift::transport::TTransport>, std::__1::shared_ptr<apache::thrift::transport::TTransport> >;
.000184000 seconds | std::__1::make_pair;
.002134999 seconds | std::__1::make_pair<std::__1::shared_ptr<apache::thrift::transport::TTransport> &, std::__1::shared_ptr<apache::thrift::transport::TTransport> &>;
.000071000 seconds | std::__1::pair<std::__1::shared_ptr<apache::thrift::transport::TTransport>, std::__1::shared_ptr<apache::thrift::transport::TTransport> >::pair;
.000067999 seconds | std::__1::pair<std::__1::shared_ptr<apache::thrift::transport::TTransport>, std::__1::shared_ptr<apache::thrift::transport::TTransport> >::pair;
.000533000 seconds | std::__1::shared_ptr<apache::thrift::transport::TTransportFactory>;
.000056000 seconds | std::__1::make_pair;
.001078999 seconds | std::__1::make_pair<std::__1::shared_ptr<apache::thrift::transport::TTransport>, std::__1::shared_ptr<apache::thrift::transport::TTransport> >;
.000065000 seconds | std::__1::pair<std::__1::shared_ptr<apache::thrift::transport::TTransport>, std::__1::shared_ptr<apache::thrift::transport::TTransport> >::pair;
.000067999 seconds | std::__1::pair<std::__1::shared_ptr<apache::thrift::transport::TTransport>, std::__1::shared_ptr<apache::thrift::transport::TTransport> >::pair;
.002912000 seconds | std::__1::vector<bool, std::__1::allocator<bool> >;
.000078000 seconds | std::__1::__bit_reference<std::__1::vector<bool, std::__1::allocator<bool> >, true>;
.000398000 seconds | folly::basic_fbstring<char, std::__1::char_traits<char>, std::__1::allocator<char>, folly::fbstring_core<char> >::operator=;
.000191999 seconds | std::__1::shared_ptr<apache::thrift::transport::TTransport>::shared_ptr;
.000530000 seconds | std::__1::shared_ptr<apache::thrift::protocol::TProtocolFactory>;
.000079000 seconds | std::__1::shared_ptr<apache::thrift::protocol::TProtocolFactory>::shared_ptr;
.002133000 seconds | std::__1::pair<std::__1::shared_ptr<apache::thrift::protocol::TProtocol>, std::__1::shared_ptr<apache::thrift::protocol::TProtocol> >;
.000205999 seconds | std::__1::make_pair;
.001551999 seconds | std::__1::make_pair<std::__1::shared_ptr<apache::thrift::protocol::TProtocol>, std::__1::shared_ptr<apache::thrift::protocol::TProtocol> >;
.000071999 seconds | std::__1::pair<std::__1::shared_ptr<apache::thrift::protocol::TProtocol>, std::__1::shared_ptr<apache::thrift::protocol::TProtocol> >::pair;
.000450999 seconds | std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> >::operator=;
.000121000 seconds | folly::findLastSet;
.000067000 seconds | std::__1::unique_ptr<folly::IOBuf, std::__1::default_delete<folly::IOBuf> >::unique_ptr;
.000055000 seconds | std::__1::unique_ptr<folly::IOBuf, std::__1::default_delete<folly::IOBuf> >::unique_ptr;
.000055000 seconds | std::__1::unique_ptr<folly::IOBuf, std::__1::default_delete<folly::IOBuf> >::unique_ptr;
.000055000 seconds | std::__1::unique_ptr<folly::IOBuf, std::__1::default_delete<folly::IOBuf> >::unique_ptr;
.005568000 seconds | std::__1::set<double, std::__1::less<double>, std::__1::allocator<double> >;
.005120000 seconds | std::__1::map<std::__1::basic_string<char>, std::__1::map<std::__1::map<short, short, std::__1::less<short>, std::__1::allocator<std::__1::pair<const short, short> > >, double, std::__1::less<std::__1::map<short, short, std::__1::less<short>, std::__1::allocator<std::__1::pair<const short, short> > > >, std::__1::allocator<std::__1::pair<const std::__1::map<short, short, std::__1::less<short>, std::__1::allocator<std::__1::pair<const short, short> > >, double> > >, std::__1::less<std::__1::basic_string<char> >, std::__1::allocator<std::__1::pair<const std::__1::basic_string<char>, std::__1::map<std::__1::map<short, short, std::__1::less<short>, std::__1::allocator<std::__1::pair<const short, short> > >, double, std::__1::less<std::__1::map<short, short, std::__1::less<short>, std::__1::allocator<std::__1::pair<const short, short> > > >, std::__1::allocator<std::__1::pair<const std::__1::map<short, short, std::__1::less<short>, std::__1::allocator<std::__1::pair<const short, short> > >, double> > > > > >;
.001012000 seconds | std::__1::vector<double, std::__1::allocator<double> >;
.000651000 seconds | std::__1::set<double, std::__1::less<double>, std::__1::allocator<double> >::set;
.000619000 seconds | std::__1::map<std::__1::basic_string<char>, std::__1::map<std::__1::map<short, short, std::__1::less<short>, std::__1::allocator<std::__1::pair<const short, short> > >, double, std::__1::less<std::__1::map<short, short, std::__1::less<short>, std::__1::allocator<std::__1::pair<const short, short> > > >, std::__1::allocator<std::__1::pair<const std::__1::map<short, short, std::__1::less<short>, std::__1::allocator<std::__1::pair<const short, short> > >, double> > >, std::__1::less<std::__1::basic_string<char> >, std::__1::allocator<std::__1::pair<const std::__1::basic_string<char>, std::__1::map<std::__1::map<short, short, std::__1::less<short>, std::__1::allocator<std::__1::pair<const short, short> > >, double, std::__1::less<std::__1::map<short, short, std::__1::less<short>, std::__1::allocator<std::__1::pair<const short, short> > > >, std::__1::allocator<std::__1::pair<const std::__1::map<short, short, std::__1::less<short>, std::__1::allocator<std::__1::pair<const short, short> > >, double> > > > > >::map;
.000762000 seconds | std::__1::set<double, std::__1::less<double>, std::__1::allocator<double> >::set;
.000790999 seconds | std::__1::map<std::__1::basic_string<char>, std::__1::map<std::__1::map<short, short, std::__1::less<short>, std::__1::allocator<std::__1::pair<const short, short> > >, double, std::__1::less<std::__1::map<short, short, std::__1::less<short>, std::__1::allocator<std::__1::pair<const short, short> > > >, std::__1::allocator<std::__1::pair<const std::__1::map<short, short, std::__1::less<short>, std::__1::allocator<std::__1::pair<const short, short> > >, double> > >, std::__1::less<std::__1::basic_string<char> >, std::__1::allocator<std::__1::pair<const std::__1::basic_string<char>, std::__1::map<std::__1::map<short, short, std::__1::less<short>, std::__1::allocator<std::__1::pair<const short, short> > >, double, std::__1::less<std::__1::map<short, short, std::__1::less<short>, std::__1::allocator<std::__1::pair<const short, short> > > >, std::__1::allocator<std::__1::pair<const std::__1::map<short, short, std::__1::less<short>, std::__1::allocator<std::__1::pair<const short, short> > >, double> > > > > >::map;
.000259000 seconds | std::__1::vector<double, std::__1::allocator<double> >::vector;
.000052999 seconds | std::__1::error_condition::error_condition;
.002083999 seconds | std::__1::pair<const short, short>;
.000056999 seconds | std::__1::allocator<std::__1::pair<const short, short> >;
.004888000 seconds | std::__1::map<short, short, std::__1::less<short>, std::__1::allocator<std::__1::pair<const short, short> > >;
.002060999 seconds | std::__1::pair<const std::__1::map<short, short, std::__1::less<short>, std::__1::allocator<std::__1::pair<const short, short> > >, double>;
.000055999 seconds | std::__1::allocator<std::__1::pair<const std::__1::map<short, short, std::__1::less<short>, std::__1::allocator<std::__1::pair<const short, short> > >, double> >;
.007666999 seconds | std::__1::map<std::__1::map<short, short, std::__1::less<short>, std::__1::allocator<std::__1::pair<const short, short> > >, double, std::__1::less<std::__1::map<short, short, std::__1::less<short>, std::__1::allocator<std::__1::pair<const short, short> > > >, std::__1::allocator<std::__1::pair<const std::__1::map<short, short, std::__1::less<short>, std::__1::allocator<std::__1::pair<const short, short> > >, double> > >;
.003605999 seconds | std::__1::pair<const std::__1::basic_string<char>, std::__1::map<std::__1::map<short, short, std::__1::less<short>, std::__1::allocator<std::__1::pair<const short, short> > >, double, std::__1::less<std::__1::map<short, short, std::__1::less<short>, std::__1::allocator<std::__1::pair<const short, short> > > >, std::__1::allocator<std::__1::pair<const std::__1::map<short, short, std::__1::less<short>, std::__1::allocator<std::__1::pair<const short, short> > >, double> > > >;
.005213000 seconds | std::__1::map<std::__1::map<std::__1::set<bool, std::__1::less<bool>, std::__1::allocator<bool> >, signed char, std::__1::less<std::__1::set<bool, std::__1::less<bool>, std::__1::allocator<bool> > >, std::__1::allocator<std::__1::pair<const std::__1::set<bool, std::__1::less<bool>, std::__1::allocator<bool> >, signed char> > >, std::__1::basic_string<char>, std::__1::less<std::__1::map<std::__1::set<bool, std::__1::less<bool>, std::__1::allocator<bool> >, signed char, std::__1::less<std::__1::set<bool, std::__1::less<bool>, std::__1::allocator<bool> > >, std::__1::allocator<std::__1::pair<const std::__1::set<bool, std::__1::less<bool>, std::__1::allocator<bool> >, signed char> > > >, std::__1::allocator<std::__1::pair<const std::__1::map<std::__1::set<bool, std::__1::less<bool>, std::__1::allocator<bool> >, signed char, std::__1::less<std::__1::set<bool, std::__1::less<bool>, std::__1::allocator<bool> > >, std::__1::allocator<std::__1::pair<const std::__1::set<bool, std::__1::less<bool>, std::__1::allocator<bool> >, signed char> > >, std::__1::basic_string<char> > > >;
.005001999 seconds | std::__1::map<short, double, std::__1::less<short>, std::__1::allocator<std::__1::pair<const short, double> > >;
.001958000 seconds | std::__1::vector<signed char, std::__1::allocator<signed char> >;
.004951000 seconds | std::__1::map<std::__1::basic_string<char>, signed char, std::__1::less<std::__1::basic_string<char> >, std::__1::allocator<std::__1::pair<const std::__1::basic_string<char>, signed char> > >;
.003722000 seconds | std::__1::set<std::__1::basic_string<char>, std::__1::less<std::__1::basic_string<char> >, std::__1::allocator<std::__1::basic_string<char> > >;
.005001000 seconds | std::__1::map<signed char, std::__1::basic_string<char>, std::__1::less<signed char>, std::__1::allocator<std::__1::pair<const signed char, std::__1::basic_string<char> > > >;
